,executed_params,executed_p,executed_ref,executed_broker,executed_info,executed_comminfo,executed_triggered,executed_status,executed_position,executed_valid,executed_dteos,executed_plen,created_pclose,created_exbits,created_p1,created_p2,created_date,created_size,created_remsize,created_price,created_pricelimit,created_trailamount,created_trailpercent,created_value,created_comm,created_margin,created_pnl,created_psize,created_pprice,executed_pclose,executed_exbits,executed_p1,executed_p2,executed_size,executed_remsize,executed_price,executed_pricelimit,executed_trailamount,executed_trailpercent,executed_value,executed_comm,executed_margin,executed_pnl,executed_psize,executed_pprice,executed_pannotated,executed_date
5,<backtrader.metabase.AutoInfoClass_OrderBase_Order_SellOrder object at 0x00000198519D87C0>,<backtrader.metabase.AutoInfoClass_OrderBase_Order_SellOrder object at 0x00000198519D87C0>,5,None,"AutoOrderedDict([('pprice', 37033.170936106304), ('custom_order_id', 2), ('signal', original_index          2023-11-11 11:23:00+00:00
end                     2023-11-14 02:00:00+00:00
limit_price                          37033.170936
stop_loss                                 37002.4
take_profit                               37165.6
trigger_price                             37029.6
trigger_satisfied                           False
stop_loss_order_id                            NaN
take_profit_order_id                          NaN
order_is_active                             False
updated                                      True
base_asset_amount                             NaN
original_order_id                             NaN
Name: (2023-11-11 11:23:00+00:00, 2023-11-11 10:00:00+00:00, 15min, buy), dtype: object), ('signal_index', (Timestamp('2023-11-11 11:23:00+0000', tz='UTC'), Timestamp('2023-11-11 10:00:00+0000', tz='UTC'), '15min', 'buy')), ('custom_type', 'stop_order')])",None,False,1,0,738838.0833333334,738835.9999999999,684,37005.9,deque([]),0,0,2023-11-11 11:23:00,-0.32498198837544584,0,37002.4,37002.4,None,None,0.0,0.0,None,0.0,0,0,0.0,deque([]),0,0,0,-0.32498198837544584,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0,0,,
6,<backtrader.metabase.AutoInfoClass_OrderBase_Order_SellOrder object at 0x0000019851FAC5B0>,<backtrader.metabase.AutoInfoClass_OrderBase_Order_SellOrder object at 0x0000019851FAC5B0>,6,None,"AutoOrderedDict([('pprice', 37033.170936106304), ('custom_order_id', 2), ('signal', original_index          2023-11-11 11:23:00+00:00
end                     2023-11-14 02:00:00+00:00
limit_price                          37033.170936
stop_loss                                 37002.4
take_profit                               37165.6
trigger_price                             37029.6
trigger_satisfied                           False
stop_loss_order_id                            NaN
take_profit_order_id                          NaN
order_is_active                             False
updated                                      True
base_asset_amount                             NaN
original_order_id                             NaN
Name: (2023-11-11 11:23:00+00:00, 2023-11-11 10:00:00+00:00, 15min, buy), dtype: object), ('signal_index', (Timestamp('2023-11-11 11:23:00+0000', tz='UTC'), Timestamp('2023-11-11 10:00:00+0000', tz='UTC'), '15min', 'buy')), ('custom_type', 'profit')])",None,False,1,0,738838.0833333334,738835.9999999999,684,37005.9,deque([]),0,0,2023-11-11 11:23:00,-0.32498198837544584,0,37165.599999999984,37165.599999999984,None,None,0.0,0.0,None,0.0,0,0,0.0,deque([]),0,0,0,-0.32498198837544584,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0,0,,
4,<backtrader.metabase.AutoInfoClass_OrderBase_Order_BuyOrder object at 0x000001984DF73250>,<backtrader.metabase.AutoInfoClass_OrderBase_Order_BuyOrder object at 0x000001984DF73250>,4,None,"AutoOrderedDict([('pprice', 37033.170936106304), ('custom_order_id', 2), ('signal', original_index          2023-11-11 11:23:00+00:00
end                     2023-11-14 02:00:00+00:00
limit_price                          37033.170936
stop_loss                                 37002.4
take_profit                               37165.6
trigger_price                             37029.6
trigger_satisfied                           False
stop_loss_order_id                            NaN
take_profit_order_id                          NaN
order_is_active                             False
updated                                      True
base_asset_amount                             NaN
original_order_id                             NaN
Name: (2023-11-11 11:23:00+00:00, 2023-11-11 10:00:00+00:00, 15min, buy), dtype: object), ('signal_index', (Timestamp('2023-11-11 11:23:00+0000', tz='UTC'), Timestamp('2023-11-11 10:00:00+0000', tz='UTC'), '15min', 'buy')), ('custom_type', 'original_order')])",None,False,2,0,738838.0833333334,738835.9999999999,685,37005.9,deque([]),0,0,2023-11-11 11:23:00,0.32498198837544584,0,37029.6,37029.6,None,None,0.0,0.0,None,0.0,0,0,0.0,deque([]),0,0,0,0.32498198837544584,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0,0,None,
5,<backtrader.metabase.AutoInfoClass_OrderBase_Order_SellOrder object at 0x00000198519D87C0>,<backtrader.metabase.AutoInfoClass_OrderBase_Order_SellOrder object at 0x00000198519D87C0>,5,None,"AutoOrderedDict([('pprice', 37033.170936106304), ('custom_order_id', 2), ('signal', original_index          2023-11-11 11:23:00+00:00
end                     2023-11-14 02:00:00+00:00
limit_price                          37033.170936
stop_loss                                 37002.4
take_profit                               37165.6
trigger_price                             37029.6
trigger_satisfied                           False
stop_loss_order_id                            NaN
take_profit_order_id                          NaN
order_is_active                             False
updated                                      True
base_asset_amount                             NaN
original_order_id                             NaN
Name: (2023-11-11 11:23:00+00:00, 2023-11-11 10:00:00+00:00, 15min, buy), dtype: object), ('signal_index', (Timestamp('2023-11-11 11:23:00+0000', tz='UTC'), Timestamp('2023-11-11 10:00:00+0000', tz='UTC'), '15min', 'buy')), ('custom_type', 'stop_order')])",None,False,2,0,738838.0833333334,738835.9999999999,685,37005.9,deque([]),0,0,2023-11-11 11:23:00,-0.32498198837544584,0,37002.4,37002.4,None,None,0.0,0.0,None,0.0,0,0,0.0,deque([]),0,0,0,-0.32498198837544584,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0,0,None,
6,<backtrader.metabase.AutoInfoClass_OrderBase_Order_SellOrder object at 0x0000019851FAC5B0>,<backtrader.metabase.AutoInfoClass_OrderBase_Order_SellOrder object at 0x0000019851FAC5B0>,6,None,"AutoOrderedDict([('pprice', 37033.170936106304), ('custom_order_id', 2), ('signal', original_index          2023-11-11 11:23:00+00:00
end                     2023-11-14 02:00:00+00:00
limit_price                          37033.170936
stop_loss                                 37002.4
take_profit                               37165.6
trigger_price                             37029.6
trigger_satisfied                           False
stop_loss_order_id                            NaN
take_profit_order_id                          NaN
order_is_active                             False
updated                                      True
base_asset_amount                             NaN
original_order_id                             NaN
Name: (2023-11-11 11:23:00+00:00, 2023-11-11 10:00:00+00:00, 15min, buy), dtype: object), ('signal_index', (Timestamp('2023-11-11 11:23:00+0000', tz='UTC'), Timestamp('2023-11-11 10:00:00+0000', tz='UTC'), '15min', 'buy')), ('custom_type', 'profit')])",None,False,2,0,738838.0833333334,738835.9999999999,685,37005.9,deque([]),0,0,2023-11-11 11:23:00,-0.32498198837544584,0,37165.599999999984,37165.599999999984,None,None,0.0,0.0,None,0.0,0,0,0.0,deque([]),0,0,0,-0.32498198837544584,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0,0,None,
4,<backtrader.metabase.AutoInfoClass_OrderBase_Order_BuyOrder object at 0x000001984DF73250>,<backtrader.metabase.AutoInfoClass_OrderBase_Order_BuyOrder object at 0x000001984DF73250>,4,None,"AutoOrderedDict([('pprice', 37033.170936106304), ('custom_order_id', 2), ('signal', original_index          2023-11-11 11:23:00+00:00
end                     2023-11-14 02:00:00+00:00
limit_price                          37033.170936
stop_loss                                 37002.4
take_profit                               37165.6
trigger_price                             37029.6
trigger_satisfied                           False
stop_loss_order_id                            NaN
take_profit_order_id                          NaN
order_is_active                             False
updated                                      True
base_asset_amount                             NaN
original_order_id                             NaN
Name: (2023-11-11 11:23:00+00:00, 2023-11-11 10:00:00+00:00, 15min, buy), dtype: object), ('signal_index', (Timestamp('2023-11-11 11:23:00+0000', tz='UTC'), Timestamp('2023-11-11 10:00:00+0000', tz='UTC'), '15min', 'buy')), ('custom_type', 'original_order')])",<backtrader.comminfo.CommInfoBase object at 0x00000198496769E0>,True,4,0,738838.0833333334,738835.9999999999,685,37005.9,deque([]),0,0,2023-11-11 11:23:00,0.32498198837544584,0,37029.6,37029.6,None,None,0.0,0.0,None,0.0,0,0,0.0,deque([<backtrader.order.OrderExecutionBit object at 0x0000019851A1BA90>]),0,1,0.32498198837544584,0.0,37029.6,0.0,0.0,0.0,12033.953036747409,0.0,None,0.0,0.32498198837544584,37029.6,None,
6,<backtrader.metabase.AutoInfoClass_OrderBase_Order_SellOrder object at 0x0000019851FAC5B0>,<backtrader.metabase.AutoInfoClass_OrderBase_Order_SellOrder object at 0x0000019851FAC5B0>,6,None,"AutoOrderedDict([('pprice', 37033.170936106304), ('custom_order_id', 2), ('signal', original_index          2023-11-11 11:23:00+00:00
end                     2023-11-14 02:00:00+00:00
limit_price                          37033.170936
stop_loss                                 37002.4
take_profit                               37165.6
trigger_price                             37029.6
trigger_satisfied                           False
stop_loss_order_id                            NaN
take_profit_order_id                          NaN
order_is_active                             False
updated                                      True
base_asset_amount                             NaN
original_order_id                             NaN
Name: (2023-11-11 11:23:00+00:00, 2023-11-11 10:00:00+00:00, 15min, buy), dtype: object), ('signal_index', (Timestamp('2023-11-11 11:23:00+0000', tz='UTC'), Timestamp('2023-11-11 10:00:00+0000', tz='UTC'), '15min', 'buy')), ('custom_type', 'profit')])",<backtrader.comminfo.CommInfoBase object at 0x00000198496769E0>,False,4,0,738838.0833333334,738835.9999999999,685,37005.9,deque([]),0,0,2023-11-11 11:23:00,-0.32498198837544584,0,37165.599999999984,37165.599999999984,None,None,0.0,0.0,None,0.0,0,0,0.0,deque([<backtrader.order.OrderExecutionBit object at 0x0000019851FAC700>]),0,1,-0.32498198837544584,0.0,37165.599999999984,0.0,0.0,0.0,12033.953036747409,0.0,None,44.19755041905591,0.0,0.0,None,
5,<backtrader.metabase.AutoInfoClass_OrderBase_Order_SellOrder object at 0x00000198519D87C0>,<backtrader.metabase.AutoInfoClass_OrderBase_Order_SellOrder object at 0x00000198519D87C0>,5,None,"AutoOrderedDict([('pprice', 37033.170936106304), ('custom_order_id', 2), ('signal', original_index          2023-11-11 11:23:00+00:00
end                     2023-11-14 02:00:00+00:00
limit_price                          37033.170936
stop_loss                                 37002.4
take_profit                               37165.6
trigger_price                             37029.6
trigger_satisfied                           False
stop_loss_order_id                            NaN
take_profit_order_id                          NaN
order_is_active                             False
updated                                      True
base_asset_amount                             NaN
original_order_id                             NaN
Name: (2023-11-11 11:23:00+00:00, 2023-11-11 10:00:00+00:00, 15min, buy), dtype: object), ('signal_index', (Timestamp('2023-11-11 11:23:00+0000', tz='UTC'), Timestamp('2023-11-11 10:00:00+0000', tz='UTC'), '15min', 'buy')), ('custom_type', 'stop_order')])",None,False,5,0,738838.0833333334,738835.9999999999,685,37005.9,deque([]),0,0,2023-11-11 11:23:00,-0.32498198837544584,0,37002.4,37002.4,None,None,0.0,0.0,None,0.0,0,0,0.0,deque([]),0,0,0,-0.32498198837544584,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0,0,None,
7,<backtrader.metabase.AutoInfoClass_OrderBase_Order_BuyOrder object at 0x000001985203DAB0>,<backtrader.metabase.AutoInfoClass_OrderBase_Order_BuyOrder object at 0x000001985203DAB0>,7,None,"AutoOrderedDict([('custom_order_id', 3), ('signal', original_index          2023-11-11 12:25:00+00:00
end                     2023-11-13 21:45:00+00:00
limit_price                          37109.490701
stop_loss                                 37069.5
take_profit                               37281.3
trigger_price                             37104.8
trigger_satisfied                           False
stop_loss_order_id                            NaN
take_profit_order_id                          NaN
order_is_active                             False
updated                                      True
base_asset_amount                             NaN
original_order_id                             NaN
Name: (2023-11-11 12:25:00+00:00, 2023-11-11 05:45:00+00:00, 15min, buy), dtype: object), ('signal_index', (Timestamp('2023-11-11 12:25:00+0000', tz='UTC'), Timestamp('2023-11-11 05:45:00+0000', tz='UTC'), '15min', 'buy')), ('custom_type', 'original_order')])",None,False,1,0,738837.90625,738835.9999999999,817,37181.9,deque([]),0,0,2023-11-11 13:36:00,0.2500581328963572,0,37109.49070089892,37109.49070089892,None,None,0.0,0.0,None,0.0,0,0,0.0,deque([]),0,0,0,0.2500581328963572,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0,0,,
8,<backtrader.metabase.AutoInfoClass_OrderBase_Order_SellOrder object at 0x0000019852084700>,<backtrader.metabase.AutoInfoClass_OrderBase_Order_SellOrder object at 0x0000019852084700>,8,None,"AutoOrderedDict([('custom_order_id', 3), ('signal', original_index          2023-11-11 12:25:00+00:00
end                     2023-11-13 21:45:00+00:00
limit_price                          37109.490701
stop_loss                                 37069.5
take_profit                               37281.3
trigger_price                             37104.8
trigger_satisfied                           False
stop_loss_order_id                            NaN
take_profit_order_id                          NaN
order_is_active                             False
updated                                      True
base_asset_amount                             NaN
original_order_id                             NaN
Name: (2023-11-11 12:25:00+00:00, 2023-11-11 05:45:00+00:00, 15min, buy), dtype: object), ('signal_index', (Timestamp('2023-11-11 12:25:00+0000', tz='UTC'), Timestamp('2023-11-11 05:45:00+0000', tz='UTC'), '15min', 'buy')), ('custom_type', 'stop_order')])",None,False,1,0,738837.90625,738835.9999999999,817,37181.9,deque([]),0,0,2023-11-11 13:36:00,-0.2500581328963572,0,37069.5,37069.5,None,None,0.0,0.0,None,0.0,0,0,0.0,deque([]),0,0,0,-0.2500581328963572,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0,0,,
9,<backtrader.metabase.AutoInfoClass_OrderBase_Order_SellOrder object at 0x0000019852087DF0>,<backtrader.metabase.AutoInfoClass_OrderBase_Order_SellOrder object at 0x0000019852087DF0>,9,None,"AutoOrderedDict([('custom_order_id', 3), ('signal', original_index          2023-11-11 12:25:00+00:00
end                     2023-11-13 21:45:00+00:00
limit_price                          37109.490701
stop_loss                                 37069.5
take_profit                               37281.3
trigger_price                             37104.8
trigger_satisfied                           False
stop_loss_order_id                            NaN
take_profit_order_id                          NaN
order_is_active                             False
updated                                      True
base_asset_amount                             NaN
original_order_id                             NaN
Name: (2023-11-11 12:25:00+00:00, 2023-11-11 05:45:00+00:00, 15min, buy), dtype: object), ('signal_index', (Timestamp('2023-11-11 12:25:00+0000', tz='UTC'), Timestamp('2023-11-11 05:45:00+0000', tz='UTC'), '15min', 'buy')), ('custom_type', 'profit')])",None,False,1,0,738837.90625,738835.9999999999,817,37181.9,deque([]),0,0,2023-11-11 13:36:00,-0.2500581328963572,0,37281.30000000002,37281.30000000002,None,None,0.0,0.0,None,0.0,0,0,0.0,deque([]),0,0,0,-0.2500581328963572,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0,0,,
